Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
BQQAEDQECX,08/15/2026 14:20:00,Business Payment to 254798765432 - KIBANDA SUPPLIES LTD,Completed,,5000,37000
AL5XTKPXGF,08/03/2026 12:21:00,Customer Payment from 254710000274 - PETER OTIENO,Completed,2467,,39467
NV3Z66HRQE,08/18/2026 10:54:00,Customer Payment from 254710002877 - MOSES KARANJA,Completed,2600,,42067
UZNECQUFQG,08/06/2026 15:42:00,Customer Payment from 254710000685 - MERCY NJERI,Completed,3000,,45067
7KSJRS53ZQ,08/10/2026 11:10:00,Customer Payment from 254710001233 - ANN WANGARI,Completed,900,,45967
J9FDHKL5E2,08/11/2026 12:17:00,Customer Payment from 254710001370 - JOSEPH MUTUA,Completed,5000,,50967
L7ASMGVNKZ,08/14/2026 15:38:00,Customer Payment from 254710001781 - ESTHER NYAMBURA,Completed,4067,,55034
HBTRQJGF5C,08/01/2026 10:07:00,Customer Payment from 254710000000 - JOHN KAMAU,Completed,2500,,57534
CW3TEPWP93,08/09/2026 10:03:00,Customer Payment from 254710001096 - BRIAN OCHIENG,Completed,3267,,60801
FF9EJJ8LS5,08/08/2026 12:24:00,Customer Payment from 254710002740 - ALICE NDUTA,Completed,1500,,62301
LAW9BHZVRD,08/15/2026 16:45:00,Customer Payment from 254710001918 - KEVIN ODHIAMBO,Completed,2000,,64301
2T7ZLZYPTE,08/07/2026 16:49:00,Customer Payment from 254710000822 - DAVID KIPTOO,Completed,1500,,65801
ERT9PJ8R84,08/18/2026 16:05:00,Customer Payment from 254710000000 - JOHN KAMAU,Reversed,2500,,65801
27SAHTXHU5,08/13/2026 14:31:00,Customer Payment from 254710001644 - DANIEL KIMANI,Completed,1200,,67001
BFPQBN4Q6T,08/02/2026 11:14:00,Customer Payment from 254710000137 - JANE WANJIRU,Completed,1800,,68801
2GYYSC7H2F,08/04/2026 13:28:00,Customer Payment from 254712345678 - GRACE ACHIENG,Completed,3200,,72001
LRL72TQWDQ,08/08/2026 9:56:00,Customer Payment from 254710000959 - FAITH WAMBUI,Completed,2200,,74201
