Order ID,Customer Name,Phone Number,Amount Expected,Date
ORD-1001,John Kamau,0710000000,2500,2026-08-01
ORD-1002,Jane Wanjiru,+254710000137,1800,2026-08-02
ORD-1003,Peter Otieno,0710000274,2500,2026-08-03
ORD-1004,Grace Achieng,0712 345 678,3200,2026-08-04
ORD-1005,Samuel Mwangi,0710000548,4500,2026-08-05
ORD-1006,Mercy Njeri,0710000685,6000,2026-08-06
ORD-1007,David Kiptoo,0710000822,1500,2026-08-07
ORD-1008,Faith Wambui,254710000959,2200,2026-08-08
ORD-1009,Brian Ochieng,0710001096,3300,2026-08-09
ORD-1010,Ann Wangari,0710001233,900,2026-08-10
ORD-1011,Joseph Mutua,0710001370,5000,2026-08-11
ORD-1012,Lucy Chebet,0710001507,2750,2026-08-12
ORD-1013,Daniel Kimani,+254 710001644,1200,2026-08-13
ORD-1014,Esther Nyambura,0710001781,4100,2026-08-14
ORD-1015,Kevin Odhiambo,0710001918,2000,2026-08-15
